pays;reseau;nom;cle;N;Nobs;fraicheur;p60;p300;p600;dispersion;cvVolume;cvBrut;amplitudePonct;effetWeekend;jours;annulJour;supprJour;verdict;motif
Allemagne;de_gtfsde;;de_gtfsde|374827;81.5;54.8;67;50.2;79;90;39.7;1.16;1.12;25;12;4;0;0;REJETEE;identite non resolue , presente 4/6 jours , volume irregulier (CV 1.16)
Allemagne;de_gtfsde;;de_gtfsde|279400;117;54;46;54.2;81.9;89.8;35.6;1.05;0.96;22;27;4;0;0;REJETEE;identite non resolue , presente 4/6 jours , volume irregulier (CV 1.05)
Pays-Bas;nl_ovapi;Rotterdam Lombardijen;nl_ovapi|rotterdamlombardijen@51.88,4.53;166.3;53.8;32;41.4;96.3;98.6;57.2;0.42;0.29;98;58;4;0.25;0;REJETEE;presente 4/6 jours , volume irregulier (CV 0.42) , ponctualite erratique (amplitude 98 pt)
Pays-Bas;nl_ovapi;Naarden-Bussum;nl_ovapi|naardenbussum@52.28,5.16;69;53.7;78;57.8;95.7;97.5;39.8;0.6;0.56;23;160;6;0.17;0;REJETEE;volume irregulier (CV 0.60)
Pays-Bas;nl_ovapi;Delft Campus;nl_ovapi|delftcampus@51.99,4.36;100.2;53.5;53;68.8;97.2;98.8;29.9;0.62;0.55;14;57;6;0.17;0;REJETEE;volume irregulier (CV 0.62)
Allemagne;de_gtfsde;;de_gtfsde|59420;64.3;53.5;83;98.6;100;100;1.4;0.87;0.81;0;7;4;0;0;REJETEE;identite non resolue , presente 4/6 jours , trop parfaite (99 % sous 60 s) , volume irregulier (CV 0.87)
Allemagne;de_gtfsde;;de_gtfsde|521238;103.8;53;51;53.3;89.2;94.3;41;0.99;0.93;14;7;4;0;0;REJETEE;identite non resolue , presente 4/6 jours , volume irregulier (CV 0.99)
Pays-Bas;nl_ovapi;Utrecht Overvecht;nl_ovapi|utrechtovervecht@52.11,5.13;84.3;53;63;73.9;98.1;99.7;25.8;0.47;0.44;5;121;6;0.5;0;REJETEE;ponctualite 98.1 % > 98 % , volume irregulier (CV 0.47)
Allemagne;de_gtfsde;;de_gtfsde|637878;113;52.8;47;60.2;91;96.7;36.5;1.42;1.37;11;16;4;0;0;REJETEE;identite non resolue , presente 4/6 jours , volume irregulier (CV 1.42)
Allemagne;de_gtfsde;;de_gtfsde|631165;102.3;52.8;52;55.9;86.3;93.8;37.9;0.99;0.92;22;5;4;0;0;REJETEE;identite non resolue , presente 4/6 jours , volume irregulier (CV 0.99)
Allemagne;de_gtfsde;;de_gtfsde|407432;100.5;52.8;52;52.6;87.2;94.8;42.2;1;0.92;24;7;4;0;0;REJETEE;identite non resolue , presente 4/6 jours , volume irregulier (CV 1.00)
Pays-Bas;nl_ovapi;Meppel;nl_ovapi|meppel@52.69,6.20;67.5;52.7;78;56;89.2;94.3;38.3;0.42;0.41;17;158;6;0.5;0;REJETEE;volume irregulier (CV 0.42)
Pays-Bas;nl_ovapi;Deurne;nl_ovapi|deurne@51.46,5.79;63.5;52.7;83;55.1;95.3;98.4;43.4;0.4;0.4;15;145;6;0.17;0;REJETEE;volume irregulier (CV 0.40)
Etats-Unis;us_mta_lirr;;us_mta_lirr|214;71;52.6;74;65.4;92;98.5;33.1;1.04;0.99;17;203;5;0;0;REJETEE;identite non resolue , presente 5/6 jours , volume irregulier (CV 1.04)
Allemagne;de_gtfsde;;de_gtfsde|490928;125.3;52.3;42;37.8;68.9;84.7;46.9;1.02;0.93;11;15;4;0;0;REJETEE;identite non resolue , presente 4/6 jours , volume irregulier (CV 1.02)
Pays-Bas;nl_ovapi;Rotterdam Zuid;nl_ovapi|rotterdamzuid@51.90,4.51;112;52.3;47;69.9;97.1;98.6;28.7;0.46;0.36;99;70;4;0.25;0;REJETEE;presente 4/6 jours , volume irregulier (CV 0.46) , ponctualite erratique (amplitude 99 pt)
Allemagne;de_gtfsde;;de_gtfsde|294154;106;52;49;36.1;69.7;83.7;47.6;1.35;1.31;26;17;4;0;0;REJETEE;identite non resolue , presente 4/6 jours , volume irregulier (CV 1.35)
Allemagne;de_gtfsde;;de_gtfsde|256285;123;51.8;42;72;93.7;97.1;25.1;1.09;1.04;50;7;4;0;0;REJETEE;identite non resolue , presente 4/6 jours , volume irregulier (CV 1.09)
Pays-Bas;nl_ovapi;Rijswijk;nl_ovapi|rijswijk@52.04,4.32;100.2;51.8;52;73.3;97.7;99;25.7;0.62;0.55;10;57;6;0.17;0;REJETEE;volume irregulier (CV 0.62)
Pays-Bas;nl_ovapi;Alkmaar Noord;nl_ovapi|alkmaarnoord@52.64,4.76;73.2;51.7;71;69.7;95.8;98.7;29;0.44;0.4;13;163;6;0.17;0;REJETEE;volume irregulier (CV 0.44)
Pays-Bas;nl_ovapi;Goes;nl_ovapi|goes@51.50,3.89;68.7;51.7;75;64.2;96.8;99;34.8;0.42;0.31;7;94;6;0.5;0;REJETEE;volume irregulier (CV 0.42)
Allemagne;de_gtfsde;;de_gtfsde|487222;98.5;51.3;52;51.2;84.9;92.7;41.5;0.95;0.9;29;8;4;0;0;REJETEE;identite non resolue , presente 4/6 jours , volume irregulier (CV 0.95)
Pays-Bas;nl_ovapi;Uitgeest;nl_ovapi|uitgeest@52.52,4.70;81.2;51.3;63;64.3;95.8;98.7;34.4;0.42;0.41;14;159;6;0.5;0;REJETEE;volume irregulier (CV 0.42)
Pays-Bas;nl_ovapi;Driebergen-Zeist;nl_ovapi|driebergenzeist@52.07,5.26;71.2;51.3;72;66.6;96.4;98.1;31.5;0.37;0.34;10;123;6;0;0;REJETEE;volume irregulier (CV 0.37)
Pays-Bas;nl_ovapi;Barendrecht;nl_ovapi|barendrecht@51.86,4.55;147.3;51;35;71.1;97.5;99;27.9;0.3;0.18;99;71;4;0.25;0;REJETEE;presente 4/6 jours , ponctualite erratique (amplitude 99 pt)
Allemagne;de_gtfsde;;de_gtfsde|485206;68.8;51;74;100;100;100;0;0.91;0.86;0;8;4;0;0;REJETEE;identite non resolue , presente 4/6 jours , trop parfaite (100 % sous 60 s) , volume irregulier (CV 0.91)
Allemagne;de_gtfsde;;de_gtfsde|243213;79.8;50.8;64;30;69.5;85.2;55.2;1.29;1.24;43;12;4;0;0;REJETEE;identite non resolue , presente 4/6 jours , volume irregulier (CV 1.29)
Allemagne;de_gtfsde;;de_gtfsde|228165;65.3;50.5;77;98.5;100;100;1.5;0.87;0.8;0;7;4;0;0;REJETEE;identite non resolue , presente 4/6 jours , trop parfaite (99 % sous 60 s) , volume irregulier (CV 0.87)
